number,assigned_group,,,,,,,,,,,,,,
INC0335175,Collaboration Tools Support,,,,,,,,,,,,,,
INC0334690,Collaboration Tools Support,,,,,,,,,,,,,,
INC0335262,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0334695,Collaboration Tools Support,,,,,,,,,,,,,,
INC0334764,Collaboration Tools Support,,,,,,,,,,,,,,
INC0335091,Collaboration Tools Support,,,,,,,,,,,,,,
INC0335205,Collaboration Tools Support,,,,,,,,,,,,,,
INC0334828,Collaboration Tools Support,,,,,,,,,,,,,,
INC0335004,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0341462,SAP Vistex Support,,,,,,,,,,,,,,
INC0334945,Collaboration Tools Support,,,,,,,,,,,,,,
INC0336367,Collaboration Tools Support,,,,,,,,,,,,,,
INC0335475,Collaboration Tools Support,,,,,,,,,,,,,,
INC0335604,Collaboration Tools Support,,,,,,,,,,,,,,
INC0335890,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0335899,Lotus Notes Support,,,,,,,,,,,,,,
INC0336092,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0336466,Collaboration Tools Support,,,,,,,,,,,,,,
INC0337133,Collaboration Tools Support,,,,,,,,,,,,,,
INC0337233,Collaboration Tools Support,,,,,,,,,,,,,,
INC0337317,Collaboration Tools Support,,,,,,,,,,,,,,
INC0335529,Collaboration Tools Support,,,,,,,,,,,,,,
INC0336398,Collaboration Tools Support,,,,,,,,,,,,,,
INC0336482,Collaboration Tools Support,,,,,,,,,,,,,,
INC0336313,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0337442,Collaboration Tools Support,,,,,,,,,,,,,,
INC0337308,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0337435,Integration Support,,,,,,,,,,,,,,
INC0337519,Lotus Notes Support,,,,,,,,,,,,,,
INC0337534,Lotus Notes Support,,,,,,,,,,,,,,
INC0337558,Collaboration Tools Support,,,,,,,,,,,,,,
INC0337962,Collaboration Tools Support,,,,,,,,,,,,,,
INC0338014,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0338065,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0337734,SAP Vistex Support,,,,,,,,,,,,,,
INC0338264,Lotus Notes Support,,,,,,,,,,,,,,
INC0338369,Lotus Notes Support,,,,,,,,,,,,,,
INC0338353,Collaboration Tools Support,,,,,,,,,,,,,,
INC0338539,Collaboration Tools Support,,,,,,,,,,,,,,
INC0338734,SAP Vistex Support,,,,,,,,,,,,,,
INC0337658,Lotus Notes Support,,,,,,,,,,,,,,
INC0337873,Collaboration Tools Support,,,,,,,,,,,,,,
INC0338130,Collaboration Tools Support,,,,,,,,,,,,,,
INC0338641,Collaboration Tools Support,,,,,,,,,,,,,,
INC0338745,Collaboration Tools Support,,,,,,,,,,,,,,
INC0337706,Collaboration Tools Support,,,,,,,,,,,,,,
INC0338063,Collaboration Tools Support,,,,,,,,,,,,,,
INC0338153,Collaboration Tools Support,,,,,,,,,,,,,,
INC0338681,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0338877,Collaboration Tools Support,,,,,,,,,,,,,,
INC0340849,Collaboration Tools Support,,,,,,,,,,,,,,
INC0339017,SAP Vistex Support,,,,,,,,,,,,,,
INC0339538,Lotus Notes Support,,,,,,,,,,,,,,
INC0340302,Integration Support,,,,,,,,,,,,,,
INC0338960,Collaboration Tools Support,,,,,,,,,,,,,,
INC0339135,Lotus Notes Support,,,,,,,,,,,,,,
INC0339535,Collaboration Tools Support,,,,,,,,,,,,,,
INC0338927,Collaboration Tools Support,,,,,,,,,,,,,,
INC0340152,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0340502,SAP Vistex Support,,,,,,,,,,,,,,
INC0340504,SAP Vistex Support,,,,,,,,,,,,,,
INC0340800,SAP Vistex Support,,,,,,,,,,,,,,
INC0338874,Collaboration Tools Support,,,,,,,,,,,,,,
INC0340695,Integration Support,,,,,,,,,,,,,,
INC0340779,SAP Vistex Support,,,,,,,,,,,,,,
INC0341110,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0341254,Collaboration Tools Support,,,,,,,,,,,,,,
INC0341325,SAP Vistex Support,,,,,,,,,,,,,,
INC0341455,SAP Vistex Support,,,,,,,,,,,,,,
INC0341458,3rd Party Application Support,,,,,,,,,,,,,,
INC0341674,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0342090,Collaboration Tools Support,,,,,,,,,,,,,,
INC0342145,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0341728,SAP Vistex Support,,,,,,,,,,,,,,
INC0342593,Collaboration Tools Support,,,,,,,,,,,,,,
INC0342625,Collaboration Tools Support,,,,,,,,,,,,,,
INC0342872,Collaboration Tools Support,,,,,,,,,,,,,,
INC0342426,Collaboration Tools Support,,,,,,,,,,,,,,
INC0342617,Collaboration Tools Support,,,,,,,,,,,,,,
INC0342646,Collaboration Tools Support,,,,,,,,,,,,,,
INC0342819,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0343374,Collaboration Tools Support,,,,,,,,,,,,,,
INC0343059,Collaboration Tools Support,,,,,,,,,,,,,,
INC0343244,3rd Party Application Support,,,,,,,,,,,,,,
INC0342720,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0343025,Collaboration Tools Support,,,,,,,,,,,,,,
INC0343156,Collaboration Tools Support,,,,,,,,,,,,,,
INC0343115,Collaboration Tools Support,,,,,,,,,,,,,,
INC0343722,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0341932,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0343695,Collaboration Tools Support,,,,,,,,,,,,,,
INC0343733,Collaboration Tools Support,,,,,,,,,,,,,,
INC0343800,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0344672,Lotus Notes Support,,,,,,,,,,,,,,
INC0345039,Lotus Notes Support,,,,,,,,,,,,,,
INC0345093,Collaboration Tools Support,,,,,,,,,,,,,,
INC0345451,Collaboration Tools Support,,,,,,,,,,,,,,
INC0344007,Collaboration Tools Support,,,,,,,,,,,,,,
INC0344309,Collaboration Tools Support,,,,,,,,,,,,,,
INC0345426,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0344440,Collaboration Tools Support,,,,,,,,,,,,,,
INC0344501,Collaboration Tools Support,,,,,,,,,,,,,,
INC0344378,Collaboration Tools Support,,,,,,,,,,,,,,
INC0345255,Collaboration Tools Support,,,,,,,,,,,,,,
INC0345397,Collaboration Tools Support,,,,,,,,,,,,,,
INC0345713,Collaboration Tools Support,,,,,,,,,,,,,,
INC0345524,Collaboration Tools Support,,,,,,,,,,,,,,
INC0344690,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0354015,Lotus Notes Support,,,,,,,,,,,,,,
INC0345872,Collaboration Tools Support,,,,,,,,,,,,,,
INC0346216,Collaboration Tools Support,,,,,,,,,,,,,,
INC0347054,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0346400,Collaboration Tools Support,,,,,,,,,,,,,,
INC0346474,Collaboration Tools Support,,,,,,,,,,,,,,
INC0347165,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0346053,Collaboration Tools Support,,,,,,,,,,,,,,
INC0346601,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0347186,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0346136,Collaboration Tools Support,,,,,,,,,,,,,,
INC0347517,Collaboration Tools Support,,,,,,,,,,,,,,
INC0348528,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0347451,Lotus Notes Support,,,,,,,,,,,,,,
INC0348476,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0346022,Collaboration Tools Support,,,,,,,,,,,,,,
INC0346183,Collaboration Tools Support,,,,,,,,,,,,,,
INC0348181,Collaboration Tools Support,,,,,,,,,,,,,,
INC0346354,Collaboration Tools Support,,,,,,,,,,,,,,
INC0348184,Collaboration Tools Support,,,,,,,,,,,,,,
INC0347452,Collaboration Tools Support,,,,,,,,,,,,,,
INC0348396,Collaboration Tools Support,,,,,,,,,,,,,,
INC0348891,3rd Party Application Support,,,,,,,,,,,,,,
INC0349001,SAP Vistex Support,,,,,,,,,,,,,,
INC0348744,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0349700,Collaboration Tools Support,,,,,,,,,,,,,,
INC0350001,Lotus Notes Support,,,,,,,,,,,,,,
INC0349861,Collaboration Tools Support,,,,,,,,,,,,,,
INC0350101,Collaboration Tools Support,,,,,,,,,,,,,,
INC0350351,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0350855,Lotus Notes Support,,,,,,,,,,,,,,
INC0351104,Collaboration Tools Support,,,,,,,,,,,,,,
INC0351683,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0351990,Collaboration Tools Support,,,,,,,,,,,,,,
INC0351051,Collaboration Tools Support,,,,,,,,,,,,,,
INC0351399,Collaboration Tools Support,,,,,,,,,,,,,,
INC0348932,Collaboration Tools Support,,,,,,,,,,,,,,
INC0349683,Collaboration Tools Support,,,,,,,,,,,,,,
INC0351973,Collaboration Tools Support,,,,,,,,,,,,,,
INC0350583,3rd Party Application Support,,,,,,,,,,,,,,
INC0349695,3rd Party Application Support,,,,,,,,,,,,,,
INC0352809,Collaboration Tools Support,,,,,,,,,,,,,,
INC0354760,Integration Support,,,,,,,,,,,,,,
INC0353611,Collaboration Tools Support,,,,,,,,,,,,,,
INC0353768,SAP Vistex Support,,,,,,,,,,,,,,
INC0354656,Integration Support,,,,,,,,,,,,,,
INC0354687,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0354937,Lotus Notes Support,,,,,,,,,,,,,,
INC0352937,Collaboration Tools Support,,,,,,,,,,,,,,
INC0354791,Lotus Notes Support,,,,,,,,,,,,,,
INC0353633,Collaboration Tools Support,,,,,,,,,,,,,,
INC0353986,Collaboration Tools Support,,,,,,,,,,,,,,
INC0353386,Collaboration Tools Support,,,,,,,,,,,,,,
INC0353429,Collaboration Tools Support,,,,,,,,,,,,,,
INC0354779,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0354215,Collaboration Tools Support,,,,,,,,,,,,,,
INC0354219,Collaboration Tools Support,,,,,,,,,,,,,,
INC0354554,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356040,Lotus Notes Support,,,,,,,,,,,,,,
INC0355166,Collaboration Tools Support,,,,,,,,,,,,,,
INC0355177,Lotus Notes Support,,,,,,,,,,,,,,
INC0355797,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0355216,Collaboration Tools Support,,,,,,,,,,,,,,
INC0355857,Collaboration Tools Support,,,,,,,,,,,,,,
INC0471314,SAP Vistex Support,,,,,,,,,,,,,,
INC0355859,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356132,Lotus Notes Support,,,,,,,,,,,,,,
INC0355937,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356339,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356359,Collaboration Tools Support,,,,,,,,,,,,,,
INC0355369,Collaboration Tools Support,,,,,,,,,,,,,,
INC0355986,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0356182,Collaboration Tools Support,,,,,,,,,,,,,,
INC0355217,Collaboration Tools Support,,,,,,,,,,,,,,
INC0355967,Collaboration Tools Support,,,,,,,,,,,,,,
INC0355154,Collaboration Tools Support,,,,,,,,,,,,,,
INC0355892,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356470,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356509,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356597,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356638,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356752,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356867,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0356744,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356877,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356703,Collaboration Tools Support,,,,,,,,,,,,,,
INC0357004,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0357084,3rd Party Application Support,,,,,,,,,,,,,,
INC0357441,Collaboration Tools Support,,,,,,,,,,,,,,
INC0357302,Collaboration Tools Support,,,,,,,,,,,,,,
INC0356814,Collaboration Tools Support,,,,,,,,,,,,,,
INC0357555,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0356436,3rd Party Application Support,,,,,,,,,,,,,,
INC0357157,SAP Vistex Support,,,,,,,,,,,,,,
INC0356651,Collaboration Tools Support,,,,,,,,,,,,,,
INC0358684,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0359077,Hire to Retire - Non SAP HR Application Support,,,,,,,,,,,,,,
INC0357706,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0358238,SAP Vistex Support,,,,,,,,,,,,,,
INC0358478,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0357859,Collaboration Tools Support,,,,,,,,,,,,,,
INC0358264,3rd Party Application Support,,,,,,,,,,,,,,
INC0358444,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0358629,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0358824,SAP Vistex Support,,,,,,,,,,,,,,
INC0367496,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0358442,Collaboration Tools Support,,,,,,,,,,,,,,
INC0358703,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0359041,Integration Support,,,,,,,,,,,,,,
INC0358160,Collaboration Tools Support,,,,,,,,,,,,,,
INC0357950,Collaboration Tools Support,,,,,,,,,,,,,,
INC0358723,Integration Support,,,,,,,,,,,,,,
INC0360130,SAP Vistex Support,,,,,,,,,,,,,,
INC0360078,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0360127,Lotus Notes Support,,,,,,,,,,,,,,
INC0360439,3rd Party Application Support,,,,,,,,,,,,,,
INC0360467,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0360740,Lotus Notes Support,,,,,,,,,,,,,,
INC0360572,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0360692,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0360965,Collaboration Tools Support,,,,,,,,,,,,,,
INC0361633,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0361479,Collaboration Tools Support,,,,,,,,,,,,,,
INC0362091,SAP Vistex Support,,,,,,,,,,,,,,
INC0361502,Collaboration Tools Support,,,,,,,,,,,,,,
INC0359913,Collaboration Tools Support,,,,,,,,,,,,,,
INC0360614,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0361051,3rd Party Application Support,,,,,,,,,,,,,,
INC0361708,Collaboration Tools Support,,,,,,,,,,,,,,
INC0361693,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0363665,Collaboration Tools Support,,,,,,,,,,,,,,
INC0362246,3rd Party Application Support,,,,,,,,,,,,,,
INC0362525,Collaboration Tools Support,,,,,,,,,,,,,,
INC0362298,Collaboration Tools Support,,,,,,,,,,,,,,
INC0362419,Collaboration Tools Support,,,,,,,,,,,,,,
INC0362834,Collaboration Tools Support,,,,,,,,,,,,,,
INC0363412,Lotus Notes Support,,,,,,,,,,,,,,
INC0363445,Lotus Notes Support,,,,,,,,,,,,,,
INC0363474,Lotus Notes Support,,,,,,,,,,,,,,
INC0363695,Collaboration Tools Support,,,,,,,,,,,,,,
INC0363397,Lotus Notes Support,,,,,,,,,,,,,,
INC0363683,3rd Party Application Support,,,,,,,,,,,,,,
INC0363736,Lotus Notes Support,,,,,,,,,,,,,,
INC0362211,Collaboration Tools Support,,,,,,,,,,,,,,
INC0363549,Collaboration Tools Support,,,,,,,,,,,,,,
INC0363634,Collaboration Tools Support,,,,,,,,,,,,,,
INC0363696,Collaboration Tools Support,,,,,,,,,,,,,,
INC0362140,SAP Vistex Support,,,,,,,,,,,,,,
INC0366557,Integration Support,,,,,,,,,,,,,,
INC0363290,Collaboration Tools Support,,,,,,,,,,,,,,
INC0363229,Collaboration Tools Support,,,,,,,,,,,,,,
INC0363398,Lotus Notes Support,,,,,,,,,,,,,,
INC0363792,Collaboration Tools Support,,,,,,,,,,,,,,
INC0363835,3rd Party Application Support,,,,,,,,,,,,,,
INC0364238,Collaboration Tools Support,,,,,,,,,,,,,,
INC0364245,Collaboration Tools Support,,,,,,,,,,,,,,
INC0364295,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0364105,Collaboration Tools Support,,,,,,,,,,,,,,
INC0365344,SAP Vistex Support,,,,,,,,,,,,,,
INC0364276,3rd Party Application Support,,,,,,,,,,,,,,
INC0365253,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0365661,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0365676,Collaboration Tools Support,,,,,,,,,,,,,,
INC0363971,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0364140,Collaboration Tools Support,,,,,,,,,,,,,,
INC0365059,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0365662,Collaboration Tools Support,,,,,,,,,,,,,,
INC0366117,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0365011,Collaboration Tools Support,,,,,,,,,,,,,,
INC0365724,Collaboration Tools Support,,,,,,,,,,,,,,
INC0365959,Collaboration Tools Support,,,,,,,,,,,,,,
INC0365260,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0371450,Lotus Notes Support,,,,,,,,,,,,,,
INC0366336,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0366166,Collaboration Tools Support,,,,,,,,,,,,,,
INC0366603,Collaboration Tools Support,,,,,,,,,,,,,,
INC0366749,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0366385,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0366415,3rd Party Application Support,,,,,,,,,,,,,,
INC0367246,Collaboration Tools Support,,,,,,,,,,,,,,
INC0367845,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0367236,SAP Vistex Support,,,,,,,,,,,,,,
INC0367876,Lotus Notes Support,,,,,,,,,,,,,,
INC0367710,Collaboration Tools Support,,,,,,,,,,,,,,
INC0367901,Collaboration Tools Support,,,,,,,,,,,,,,
INC0372512,Integration Support,,,,,,,,,,,,,,
INC0366210,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0366183,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0368296,Collaboration Tools Support,,,,,,,,,,,,,,
INC0368528,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0368607,Collaboration Tools Support,,,,,,,,,,,,,,
INC0368934,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0369095,Syclo WM Agentry Support,,,,,,,,,,,,,,
INC0388995,Collaboration Tools Support,,,,,,,,,,,,,,
INC0369313,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0369319,Collaboration Tools Support,,,,,,,,,,,,,,
INC0369437,SAP Vistex Support,,,,,,,,,,,,,,
INC0369593,3rd Party Application Support,,,,,,,,,,,,,,
INC0369598,SAP Vistex Support,,,,,,,,,,,,,,
INC0368988,Collaboration Tools Support,,,,,,,,,,,,,,
INC0369601,Collaboration Tools Support,,,,,,,,,,,,,,
INC0367950,Collaboration Tools Support,,,,,,,,,,,,,,
INC0369559,Collaboration Tools Support,,,,,,,,,,,,,,
INC0368600,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0368565,Lotus Notes Support,,,,,,,,,,,,,,
INC0372638,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0369795,Collaboration Tools Support,,,,,,,,,,,,,,
INC0369242,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0369433,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0370045,Collaboration Tools Support,,,,,,,,,,,,,,
INC0370478,SAP Vistex Support,,,,,,,,,,,,,,
INC0370802,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0370755,Collaboration Tools Support,,,,,,,,,,,,,,
INC0370515,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0371035,Collaboration Tools Support,,,,,,,,,,,,,,
INC0371057,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0370193,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0370669,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0370964,Collaboration Tools Support,,,,,,,,,,,,,,
INC0370878,3rd Party Application Support,,,,,,,,,,,,,,
INC0370870,3rd Party Application Support,,,,,,,,,,,,,,
INC0371093,Lotus Notes Support,,,,,,,,,,,,,,
INC0370635,Reporting - Non SAP Tools support,,,,,,,,,,,,,,
INC0370547,Collaboration Tools Support,,,,,,,,,,,,,,
INC0370102,Collaboration Tools Support,,,,,,,,,,,,,,
INC0370008,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0371361,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0371591,Lotus Notes Support,,,,,,,,,,,,,,
INC0371673,Collaboration Tools Support,,,,,,,,,,,,,,
INC0371880,Lotus Notes Support,,,,,,,,,,,,,,
INC0372090,3rd Party Application Support,,,,,,,,,,,,,,
INC0372138,Lotus Notes Support,,,,,,,,,,,,,,
INC0371734,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0372265,Collaboration Tools Support,,,,,,,,,,,,,,
INC0372363,Collaboration Tools Support,,,,,,,,,,,,,,
INC0372336,Collaboration Tools Support,,,,,,,,,,,,,,
INC0372410,Collaboration Tools Support,,,,,,,,,,,,,,
INC0372163,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0372286,SAP Vistex Support,,,,,,,,,,,,,,
INC0371532,3rd Party Application Support,,,,,,,,,,,,,,
INC0371465,Collaboration Tools Support,,,,,,,,,,,,,,
INC0373014,Collaboration Tools Support,,,,,,,,,,,,,,
INC0373124,Collaboration Tools Support,,,,,,,,,,,,,,
INC0373352,Collaboration Tools Support,,,,,,,,,,,,,,
INC0373632,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0373768,Collaboration Tools Support,,,,,,,,,,,,,,
INC0374321,Collaboration Tools Support,,,,,,,,,,,,,,
INC0373936,Collaboration Tools Support,,,,,,,,,,,,,,
INC0374360,Collaboration Tools Support,,,,,,,,,,,,,,
INC0374729,Collaboration Tools Support,,,,,,,,,,,,,,
INC0374944,SAP Vistex Support,,,,,,,,,,,,,,
INC0372950,SAP Vistex Support,,,,,,,,,,,,,,
INC0374735,Lotus Notes Support,,,,,,,,,,,,,,
INC0373144,Lotus Notes Support,,,,,,,,,,,,,,
INC0375233,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0373410,3rd Party Application Support,,,,,,,,,,,,,,
INC0374760,Collaboration Tools Support,,,,,,,,,,,,,,
INC0375545,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0373704,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0375406,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0388315,Lotus Notes Support,,,,,,,,,,,,,,
INC0373751,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0377377,Integration Support,,,,,,,,,,,,,,
INC0377873,BASIS/AS400 Application Support,,,,,,,,,,,,,,
INC0375623,Collaboration Tools Support,,,,,,,,,,,,,,
INC0376331,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0376523,Germany Margin Minder Support,,,,,,,,,,,,,,
INC0376655,Germany Margin Minder Support,,,,,,,,,,,,,,
